StringBuilderStrand on ecoli_small:
dna length = 320,160
cutting at enzyme gaattc
----------------------------------------------------------------------
Class             dna,N   splicee,S        recomb  time(ms)  breaks,b
----------------------------------------------------------------------
StringBuil:     320,160      10,000       769,890         4        45
StringBuil:     320,160      20,000     1,219,890         3        45
StringBuil:     320,160      40,000     2,119,890         4        45
StringBuil:     320,160      80,000     3,919,890         5        45
StringBuil:     320,160     160,000     7,519,890         4        45
StringBuil:     320,160     320,000    14,719,890         7        45
StringBuil:     320,160     640,000    29,119,890        12        45
StringBuil:     320,160   1,280,000    57,919,890        21        45
StringBuil:     320,160      10,000       769,890         1        45
StringBuil:     640,320      10,000     1,539,780         3        90
StringBuil:   1,280,640      10,000     3,079,560         5       180
StringBuil:   2,561,280      10,000     6,159,120        10       360
StringBuil:   5,122,560      10,000    12,318,240        18       720

